"Date","Time","Open","High","Low","Close","Up","Down","ZeroLine","3/10Line_2","16Line_2","ParCl","ParCl","Vol","Avg","PLOT1","MornDoji","EveDoji"
10/02/2020,05:50,3311.50,3317.75,3311.25,3315.75,1413,1676,0.00,-9.22,-1.39,3336.78,3303.00,3089.00,2030.90,0.00,0.00,0.00
10/02/2020,05:55,3315.25,3317.75,3314.00,3317.25,786,994,0.00,-7.38,-2.00,3335.72,3303.09,1780.00,2072.90,0.00,0.00,0.00
10/02/2020,06:00,3317.25,3317.50,3312.25,3314.25,1311,1654,0.00,-4.72,-2.42,3334.70,3303.18,2965.00,2225.10,0.00,0.00,0.00
10/02/2020,06:05,3314.00,3314.25,3308.50,3311.00,1508,1758,0.00,-4.16,-2.72,3333.72,3303.27,3266.00,2424.70,0.00,0.00,0.00
10/02/2020,06:10,3310.75,3312.00,3308.25,3310.00,928,1014,0.00,-4.50,-3.03,3332.51,3303.36,1942.00,2525.70,0.00,0.00,0.00
10/02/2020,06:15,3310.25,3312.00,3307.00,3309.00,865,963,0.00,-4.68,-3.38,3331.15,3303.45,1828.00,2537.00,0.00,0.00,0.00
10/02/2020,06:20,3308.75,3309.50,3304.50,3306.50,1239,1444,0.00,-4.68,-3.71,3329.60,3303.54,2683.00,2509.00,0.00,0.00,0.00
10/02/2020,06:25,3306.75,3308.00,3304.25,3307.25,1202,1269,0.00,-4.29,-4.04,3327.80,3303.63,2471.00,2569.40,0.00,0.00,0.00
10/02/2020,06:30,3307.00,3316.00,3307.00,3314.00,2327,1834,0.00,-2.43,-4.27,3325.91,3303.72,4161.00,2695.80,0.00,0.00,0.00
10/02/2020,06:35,3314.00,3317.75,3313.00,3316.00,1030,946,0.00,0.32,-4.38,3324.18,3303.81,1976.00,2616.10,0.00,0.00,0.00
10/02/2020,06:40,3316.00,3320.00,3315.00,3319.50,1170,1175,0.00,4.03,-4.25,3322.59,3303.90,2345.00,2541.70,0.00,0.00,0.00
10/02/2020,06:45,3319.50,3323.00,3319.25,3322.00,1536,1485,0.00,6.22,-3.84,3304.25,3303.99,3021.00,2665.80,0.00,0.00,0.00
10/02/2020,06:50,3322.00,3322.25,3318.25,3319.50,691,1099,0.00,6.86,-3.20,3304.40,3304.08,1790.00,2548.30,0.00,0.00,0.00
10/02/2020,06:55,3319.00,3323.50,3319.00,3322.75,1026,913,0.00,6.77,-2.41,3304.55,3304.17,1939.00,2415.60,0.00,0.00,0.00
10/02/2020,07:00,3322.75,3323.50,3320.50,3321.25,731,1020,0.00,5.39,-1.60,3304.85,3304.26,1751.00,2396.50,0.00,0.00,0.00
10/02/2020,07:05,3321.25,3325.25,3320.75,3324.00,1477,1093,0.00,5.39,-0.69,3305.15,3304.34,2570.00,2470.70,0.00,0.00,0.00
10/02/2020,07:10,3324.00,3325.00,3318.50,3319.50,1214,1423,0.00,3.01,0.07,3305.63,3304.43,2637.00,2466.10,0.00,0.00,0.00
10/02/2020,07:15,3319.50,3322.25,3319.00,3320.25,897,773,0.00,1.38,0.62,3306.10,3304.52,1670.00,2386.00,0.00,0.00,0.00
10/02/2020,07:20,3320.00,3321.00,3317.25,3318.75,704,906,0.00,-0.85,0.86,3306.56,3304.61,1610.00,2130.90,0.00,0.00,0.00
10/02/2020,07:25,3318.50,3319.25,3314.00,3314.25,727,1307,0.00,-2.43,0.97,3307.01,3304.69,2034.00,2136.70,0.00,0.00,0.00
10/02/2020,07:30,3314.25,3316.00,3313.25,3315.75,778,792,0.00,-3.55,1.03,3307.45,3304.78,1570.00,2059.20,0.00,0.00,0.00
10/02/2020,07:35,3315.75,3317.50,3313.75,3314.25,1298,1427,0.00,-4.28,1.05,3307.88,3304.87,2725.00,2029.60,0.00,0.00,0.00
10/02/2020,07:40,3314.25,3316.25,3313.75,3315.50,799,799,0.00,-3.46,1.13,3308.29,3304.95,1598.00,2010.40,0.00,0.00,0.00
10/02/2020,07:45,3315.25,3315.50,3311.50,3312.25,1032,1353,0.00,-3.57,1.17,3308.70,3305.04,2385.00,2055.00,0.00,0.00,0.00
10/02/2020,07:50,3312.25,3315.50,3311.75,3315.25,956,878,0.00,-2.64,1.16,3309.10,3305.13,1834.00,2063.30,0.00,0.00,3310.75
10/02/2020,07:55,3315.25,3319.25,3311.75,3316.25,3008,2984,0.00,-1.62,1.04,3309.49,3305.21,5992.00,2405.50,0.00,0.00,0.00
10/02/2020,08:00,3316.25,3318.00,3310.75,3313.50,3151,3330,0.00,-0.60,0.75,3309.86,3305.30,6481.00,2789.90,0.00,0.00,0.00
10/02/2020,08:05,3313.25,3316.25,3312.25,3313.00,1707,1564,0.00,-0.63,0.32,3310.23,3305.38,3271.00,2950.00,0.00,0.00,0.00
10/02/2020,08:10,3313.00,3321.50,3312.75,3320.50,2618,2137,0.00,0.62,-0.07,3310.59,3305.47,4755.00,3264.50,0.00,0.00,0.00
10/02/2020,08:15,3320.50,3324.00,3319.50,3323.25,1661,1594,0.00,2.97,-0.30,3310.95,3305.55,3255.00,3386.60,0.00,0.00,0.00
10/02/2020,08:20,3323.00,3324.25,3321.50,3324.25,938,635,0.00,5.87,-0.27,3311.29,3305.64,1573.00,3386.90,0.00,0.00,0.00
10/02/2020,08:25,3324.00,3326.50,3321.50,3325.25,1815,1544,0.00,6.35,-0.21,3311.62,3305.72,3359.00,3450.30,0.00,0.00,0.00
10/02/2020,08:30,3325.00,3330.00,3318.75,3326.50,950,1014,0.00,6.33,-0.01,3312.10,3305.81,1964.00,3486.90,0.00,0.00,0.00
10/02/2020,08:35,3326.75,3327.25,3317.00,3322.25,2404,2468,0.00,4.67,0.20,3312.82,3305.89,4872.00,3735.60,0.00,0.00,0.00
10/02/2020,08:40,3321.75,3321.75,3316.25,3319.50,2989,2886,0.00,2.32,0.40,3313.50,3305.98,5875.00,4139.70,0.00,0.00,0.00
10/02/2020,08:45,3319.50,3321.25,3314.75,3314.75,1605,1839,0.00,-1.44,0.46,3314.16,3306.06,3444.00,3884.90,0.00,0.00,0.00
10/02/2020,08:50,3314.75,3316.00,3309.50,3312.75,2149,2863,0.00,-4.53,0.40,3330.00,3306.14,5012.00,3738.00,0.00,0.00,0.00
10/02/2020,08:55,3312.50,3312.75,3308.50,3310.00,2620,3089,0.00,-7.40,0.20,3329.84,3306.23,5709.00,3981.80,0.00,0.00,0.00
10/02/2020,09:00,3310.00,3316.50,3309.25,3314.75,2685,2542,0.00,-6.82,-0.01,3329.49,3306.31,5227.00,4029.00,0.00,0.00,0.00
10/02/2020,09:05,3314.75,3315.25,3305.50,3307.25,3202,4135,0.00,-7.06,-0.23,3329.16,3339.50,7337.00,4437.20,0.00,0.00,0.00
10/02/2020,09:10,3307.25,3308.50,3306.25,3308.50,2441,2717,0.00,-5.98,-0.43,3328.59,3339.42,5158.00,4795.70,0.00,0.00,0.00
